Date,Open
2016-07-07,674.7
2016-07-06,669.09
2016-07-05,678.74
2016-07-04,659.77
2016-07-03,702.48
2016-07-02,674.55
2016-07-01,666.33
2016-06-30,635.91
2016-06-29,644.33
2016-06-28,657.49
2016-06-27,630.16
2016-06-26,658.8
2016-06-25,660.76
2016-06-24,622.59
2016-06-23,600.51
2016-06-22,665.36
2016-06-21,725
2016-06-20,759.12
2016-06-19,753.47
2016-06-18,745
2016-06-17,767.37
2016-06-16,695
2016-06-15,685.25
2016-06-14,703.81
2016-06-13,668.73
2016-06-12,610
2016-06-11,576.53
2016-06-10,576.06
2016-06-09,583.01
2016-06-08,577.48
2016-06-07,584.12
2016-06-06,573.8
2016-06-05,573.5
2016-06-04,569.93
2016-06-03,538
2016-06-02,536.95
2016-06-01,532.37
2016-05-31,527.64
2016-05-30,517.6
2016-05-29,522.13
2016-05-28,470.58
2016-05-27,452.07
2016-05-26,448.27
2016-05-25,445.31
2016-05-24,442.63
2016-05-23,438.72
2016-05-22,442.72
2016-05-21,442.84
2016-05-20,436.3
2016-05-19,452.47
2016-05-18,452.96
2016-05-17,454
2016-05-16,457.56
2016-05-15,456.3
2016-05-14,456.42
2016-05-13,455.2
2016-05-12,452.95
2016-05-11,450.88
2016-05-10,461.49
2016-05-09,457.75
2016-05-08,458.97
2016-05-07,458.98
2016-05-06,448.5
2016-05-05,447.36
2016-05-04,451.18
2016-05-03,444.06
2016-05-02,452.99
2016-05-01,448.43
2016-04-30,456.53
2016-04-29,449.94
2016-04-28,445.39
2016-04-27,467.39
2016-04-26,462.29
2016-04-25,460.03
2016-04-24,451.92
2016-04-23,447.16
2016-04-22,451
2016-04-21,441.99
2016-04-20,435.7
2016-04-19,428.14
2016-04-18,427.15
2016-04-17,430.18
2016-04-16,429.29
2016-04-15,424.4
2016-04-14,423.6
2016-04-13,425.32
2016-04-12,422.79
2016-04-11,420.4
2016-04-10,418.59
2016-04-09,417.75
2016-04-08,419.99
2016-04-07,420.62
2016-04-06,422.71
2016-04-05,418.81
2016-04-04,418.51
2016-04-03,419.35
2016-04-02,416.31
2016-04-01,414.66
2016-03-31,413.68
2016-03-30,415.43
2016-03-29,422.87
2016-03-28,424.62
2016-03-27,416.96
2016-03-26,415.6
2016-03-25,415.17
2016-03-24,417.62
2016-03-23,416.39
2016-03-22,411.15
2016-03-21,410.62
2016-03-20,408.36
2016-03-19,407.5
2016-03-18,418.47
2016-03-17,416.52
