Date,Open
2017-11-27,9278.99
2017-11-26,8718
2017-11-25,8199.83
2017-11-24,7988.96
2017-11-23,8214.69
2017-11-22,8095.19
2017-11-21,8226.14
2017-11-20,8016.58
2017-11-19,7775.55
2017-11-18,7675
2017-11-17,7846.96
2017-11-16,7294
2017-11-15,6609
2017-11-14,6524.69
2017-11-13,5870.03
2017-11-12,6355.13
2017-11-11,6588.18
2017-11-10,7150.61
2017-11-09,7465.06
2017-11-08,7131.38
2017-11-07,6967.64
2017-11-06,7373.3
2017-11-05,7388.79
2017-11-04,7145.24
2017-11-03,7030
2017-11-02,6745.04
2017-11-01,6434.24
2017-10-31,6120
2017-10-30,6133.01
2017-10-29,5731.7
2017-10-28,5773.03
2017-10-27,5889.99
2017-10-26,5741.35
2017-10-25,5518.49
2017-10-24,5869.82
2017-10-23,5967.38
2017-10-22,6010.85
2017-10-21,5977.26
2017-10-20,5700
2017-10-19,5572.64
2017-10-18,5591.97
2017-10-17,5752.2
2017-10-16,5683.92
2017-10-15,5795.01
2017-10-14,5653.58
2017-10-13,5444
2017-10-12,4822.01
2017-10-11,4747.9
2017-10-10,4761.67
2017-10-09,4597.97
2017-10-08,4422.72
2017-10-07,4356.09
2017-10-06,4301.09
2017-10-05,4219.74
2017-10-04,4315.73
2017-10-03,4391.41
2017-10-02,4369.33
2017-10-01,4326.09
2017-09-30,4162.04
2017-09-29,4183.47
2017-09-28,4202.34
2017-09-27,3883.95
2017-09-26,3920.66
2017-09-25,3667.01
2017-09-24,3781.13
2017-09-23,3611.91
2017-09-22,3607.83
2017-09-21,3864
2017-09-20,3888.8
2017-09-19,4102
2017-09-18,3662.95
2017-09-17,3669.07
2017-09-16,3699.89
2017-09-15,3227.79
2017-09-14,3861.89
2017-09-13,4170.6
2017-09-12,4198.89
2017-09-11,4226.21
2017-09-10,4322.44
2017-09-09,4327.41
2017-09-08,4615
2017-09-07,4605.81
2017-09-06,4397.38
2017-09-05,4282.53
2017-09-04,4603.68
2017-09-03,4599.9
2017-09-02,4921.71
2017-09-01,4734.26
2017-08-31,4573.15
2017-08-30,4578.82
2017-08-29,4385
2017-08-28,4329.91
2017-08-27,4333.38
2017-08-26,4348.17
2017-08-25,4308.8
2017-08-24,4121.78
2017-08-23,4078
2017-08-22,3987.51
2017-08-21,4058.64
2017-08-20,4091.99
2017-08-19,4100
2017-08-18,4260.47
2017-08-17,4361.99
2017-08-16,4154.99
2017-08-15,4320.95
2017-08-14,4053.87
2017-08-13,3855.04
2017-08-12,3651.74
2017-08-11,3410
2017-08-10,3342.99
2017-08-09,3408.46
2017-08-08,3387.54
2017-08-07,3216.78
2017-08-06,3263.51
2017-08-05,2851.01
2017-08-04,2793.34
2017-08-03,2703.51
2017-08-02,2732
2017-08-01,2855.81
2017-07-31,2745.76
2017-07-30,2681.6
2017-07-29,2777.01
2017-07-28,2666.33
2017-07-27,2524.99
2017-07-26,2564.74
2017-07-25,2759.95
2017-07-24,2756.8
2017-07-23,2824.82
2017-07-22,2667.01
2017-07-21,2880
2017-07-20,2265.51
2017-07-19,2308.82
2017-07-18,2226
2017-07-17,1917.72
2017-07-16,1970.51
2017-07-15,2209.44
2017-07-14,2340
2017-07-13,2383.97
2017-07-12,2301.55
2017-07-11,2326.12
2017-07-10,2504
2017-07-09,2550.13
2017-07-08,2501.46
2017-07-07,2599.01
2017-07-06,2598.37
2017-07-05,2594.52
2017-07-04,2540.07
2017-07-03,2504.81
2017-07-02,2421.3
2017-07-01,2465.48
2017-06-30,2538.41
2017-06-29,2550.99
2017-06-28,2565
2017-06-27,2421.21
2017-06-26,2502.26
2017-06-25,2557.66
2017-06-24,2685.05
2017-06-23,2713.48
2017-06-22,2658.67
2017-06-21,2734.03
2017-06-20,2598
2017-06-19,2516.98
2017-06-18,2630.06
2017-06-17,2484.68
2017-06-16,2424.96
2017-06-15,2451.42
2017-06-14,2705.99
2017-06-13,2656.97
2017-06-12,2954.23
2017-06-11,2899.01
2017-06-10,2818
2017-06-09,2805.46
2017-06-08,2680.24
2017-06-07,2875.71
2017-06-06,2698
2017-06-05,2530.27
2017-06-04,2538.1
2017-06-03,2488.94
2017-06-02,2413.58
2017-06-01,2298.01
2017-05-31,2201.7
2017-05-30,2290.18
2017-05-29,2172.54
2017-05-28,2042.89
2017-05-27,2280.7
2017-05-26,2277.01
2017-05-25,2420.29
2017-05-24,2265.9
2017-05-23,2088.76
2017-05-22,2017.55
2017-05-21,2013.99
2017-05-20,1959.09
2017-05-19,1879
2017-05-18,1779
2017-05-17,1700.01
2017-05-16,1706.07
2017-05-15,1782.3
2017-05-14,1776.8
2017-05-13,1690.33
2017-05-12,1830.85
2017-05-11,1774.52
2017-05-10,1720.26
2017-05-09,1649.55
2017-05-08,1554.38
2017-05-07,1554.04
2017-05-06,1515.39
2017-05-05,1537.36
2017-05-04,1503.25
2017-05-03,1447.75
2017-05-02,1390.86
2017-05-01,1348.88
2017-04-30,1336.77
2017-04-29,1333.93
2017-04-28,1331
2017-04-27,1287.92
2017-04-26,1271.4
2017-04-25,1253.57
2017-04-24,1242
2017-04-23,1231.85
2017-04-22,1243.6
2017-04-21,1234.93
2017-04-20,1203.98
2017-04-19,1202.59
2017-04-18,1176.59
2017-04-17,1162.31
2017-04-16,1171
2017-04-15,1169.53
2017-04-14,1172.56
2017-04-13,1212.16
2017-04-12,1218.99
2017-04-11,1209.99
2017-04-10,1205.2
2017-04-09,1184.05
2017-04-08,1190.66
2017-04-07,1190.72
2017-04-06,1134.86
2017-04-05,1143
2017-04-04,1146.42
2017-04-03,1076.59
2017-04-02,1083.95
2017-04-01,1071.34
2017-03-31,1033.79
2017-03-30,1037.29
2017-03-29,1042.83
2017-03-28,1039.09
2017-03-27,959.08
2017-03-26,956.02
2017-03-25,928.1
2017-03-24,1030.84
2017-03-23,1037.6
2017-03-22,1114.39
2017-03-21,1036.23
2017-03-20,1012.88
2017-03-19,969.4
2017-03-18,1068.16
2017-03-17,1172
2017-03-16,1258.75
2017-03-15,1245.82
2017-03-14,1242.46
2017-03-13,1226.42
2017-03-12,1176.58
2017-03-11,1111.55
2017-03-10,1190.99
2017-03-09,1149.34
2017-03-08,1233.86
2017-03-07,1278.49
2017-03-06,1269.98
2017-03-05,1260
2017-03-04,1287.38
2017-03-03,1256.32
2017-03-02,1228
2017-03-01,1191.16
2017-02-28,1194.64
2017-02-27,1180.46
2017-02-26,1152.11
2017-02-25,1180.05
2017-02-24,1183.53
2017-02-23,1130.02
2017-02-22,1124.83
2017-02-21,1084
2017-02-20,1051.8
2017-02-19,1056.4
2017-02-18,1055.75
2017-02-17,1032.91
2017-02-16,1011.53
2017-02-15,1008.88
2017-02-14,1000.74
2017-02-13,1000.73
2017-02-12,1011.01
2017-02-11,995.49
2017-02-10,985.71
2017-02-09,1051.73
2017-02-08,1052.48
2017-02-07,1024
2017-02-06,1010.03
2017-02-05,1033.72
2017-02-04,1015.06
2017-02-03,1009.15
2017-02-02,983.79
2017-02-01,963.99
2017-01-31,919.99
2017-01-30,913.12
2017-01-29,918.6
2017-01-28,918.02
2017-01-27,914.95
2017-01-26,893.25
2017-01-25,885.47
2017-01-24,913.15
2017-01-23,923.75
2017-01-22,921.98
2017-01-21,895.81
2017-01-20,902.23
2017-01-19,887.69
2017-01-18,905.95
2017-01-17,831.76
2017-01-16,821.86
2017-01-15,819.52
2017-01-14,825.98
2017-01-13,807.51
2017-01-12,778.7
2017-01-11,905.24
2017-01-10,896.09
2017-01-09,909.8
2017-01-08,906.2
2017-01-07,894.02
2017-01-06,1004.73
2017-01-05,1114.38
2017-01-04,1035.51
2017-01-03,1011.44
2017-01-02,997.75
2017-01-01,966.34
2016-12-31,959.54
2016-12-30,969.99
2016-12-29,976.48
2016-12-28,930.34
2016-12-27,897.82
2016-12-26,890.65
2016-12-25,892.61
2016-12-24,914.48
2016-12-23,858.94
2016-12-22,832.02
2016-12-21,798.83
2016-12-20,791.03
2016-12-19,788.34
2016-12-18,788.3
2016-12-17,781.32
2016-12-16,776.3
2016-12-15,777.03
2016-12-14,775.75
2016-12-13,777
2016-12-12,768.97
2016-12-11,772.28
2016-12-10,769.57
2016-12-09,766.84
2016-12-08,764.05
2016-12-07,758.97
2016-12-06,749.51
2016-12-05,762
2016-12-04,762.97
2016-12-03,770.91
2016-12-02,751.55
2016-12-01,742.06
2016-11-30,730.72
2016-11-29,730.99
2016-11-28,727.32
2016-11-27,729.91
2016-11-26,736.96
2016-11-25,735.63
2016-11-24,740.18
2016-11-23,749.13
2016-11-22,736.92
2016-11-21,727.09
2016-11-20,750.09
2016-11-19,748.98
2016-11-18,736
2016-11-17,739.71
2016-11-16,711.07
2016-11-15,704.98
2016-11-14,700.38
2016-11-13,701.17
2016-11-12,716.39
2016-11-11,714.48
2016-11-10,721.5
2016-11-09,708.17
2016-11-08,702.86
2016-11-07,709.92
2016-11-06,703.33
2016-11-05,702.95
2016-11-04,684.84
2016-11-03,742
2016-11-02,726.6
2016-11-01,697.04
2016-10-31,697.1
2016-10-30,711.1
2016-10-29,685.91
2016-10-28,684.68
2016-10-27,674.63
2016-10-26,651.97
2016-10-25,649.03
2016-10-24,648.71
2016-10-23,654.52
2016-10-22,628.99
2016-10-21,628.05
2016-10-20,627.84
2016-10-19,635.95
2016-10-18,636.96
2016-10-17,638.97
2016-10-16,635.26
2016-10-15,638.2
2016-10-14,635.16
2016-10-13,634.5
2016-10-12,638.3
2016-10-11,616.37
2016-10-10,612.12
2016-10-09,614.34
2016-10-08,614.88
2016-10-07,610.25
2016-10-06,608.01
2016-10-05,607.19
2016-10-04,612.84
2016-10-03,608.6
2016-10-02,612.98
2016-10-01,608.23
2016-09-30,605.59
2016-09-29,603.93
2016-09-28,605.07
2016-09-27,606.7
2016-09-26,598.95
2016-09-25,600.05
2016-09-24,600.47
2016-09-23,595.42
2016-09-22,595.46
2016-09-21,600.85
2016-09-20,608.73
2016-09-19,608
2016-09-18,602.93
2016-09-17,607.04
2016-09-16,606.65
2016-09-15,608.5
2016-09-14,607.45
2016-09-13,606.4
2016-09-12,604.08
2016-09-11,621.65
2016-09-10,622.01
2016-09-09,625.67
2016-09-08,614.44
2016-09-07,608.93
2016-09-06,604.98
2016-09-05,605.72
2016-09-04,596.25
2016-09-03,572
2016-09-02,571.05
2016-09-01,570.75
2016-08-31,575.88
2016-08-30,570.74
2016-08-29,573.2
2016-08-28,567.51
2016-08-27,577.92
2016-08-26,575.75
2016-08-25,577.65
2016-08-24,580.27
2016-08-23,582.78
2016-08-22,577.55
2016-08-21,577.7
2016-08-20,572.98
2016-08-19,571.51
2016-08-18,570.91
2016-08-17,574.95
2016-08-16,564.2
2016-08-15,568.76
2016-08-14,583.54
2016-08-13,585.34
2016-08-12,585.25
2016-08-11,590.46
2016-08-10,582.71
2016-08-09,591.85
2016-08-08,592.47
2016-08-07,589.47
2016-08-06,572.98
2016-08-05,578.14
2016-08-04,563.99
2016-08-03,540
2016-08-02,606.84
2016-08-01,622.5
2016-07-31,654.02
2016-07-30,654.88
2016-07-29,654.84
2016-07-28,655.13
2016-07-27,651.22
2016-07-26,655
2016-07-25,659.64
2016-07-24,655.52
2016-07-23,647.88
2016-07-22,663.25
2016-07-21,667.01
2016-07-20,674.8
2016-07-19,673.45
2016-07-18,679.54
2016-07-17,662.45
2016-07-16,664.6
2016-07-15,660.3
2016-07-14,652.24
2016-07-13,663.52
2016-07-12,649.32
2016-07-11,648.77
2016-07-10,647.78
2016-07-09,663
2016-07-08,638.89
